"X","indx","trigger1","trigger2","trigger3","context1","context2","context3","function1","function2","function3","content1","content2","content3","content4","time_start","time_end","duration","recur","singers_n","singers_age1","singers_age2","shape_type","appear_paint","appear_adorn","appear_cloth","appear_mask","appear_obj","restrict_sex","restrict_marry","restrict_grp1","restrict_grp2","audience_n","audience_age1","audience_age2","audience_sex","audience_marry","audience_grp1","audience_grp2","instrument_type1","instrument_type2","instrument_type3","text_duplicate","id_nhs","group"
14,14,"Sickness, medical care, and shamans","Drives and emotions",".","Communication","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Drives and emotions","Status, role, and prestige",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",0,"NHS-C108",0
20,20,"War","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".","Unspecified location",".","Unspecified location",".","1","Female",".","Raiders, warriors, head-hunters, etc.",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",0,"NHS-C108",1
21,21,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Traditional history",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Drives and emotions","Infancy and childhood","Fauna",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Child","Adult",".",".",".",".",".",".",".",0,"NHS-C108",1
22,22,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Drives and emotions",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Infancy and childhood","Family (includes nuclear family, polygamy, adoption)","Drives and emotions",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".","Singers/musicians (e.g., bards, minstrels)",".","Multiple singers (number unknown)","Adult",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".",".",0,"NHS-C108",1
24,24,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".","Humor","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Drives and emotions",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",0,"NHS-C108",1
27,27,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Drives and emotions",".",".",".",".",".",".","Solo singer","Adult",".",".","Entire body","Entire body",".",".",".",".",".",".",".","Solo listener","Adult",".","Female",".","Adults",".",".",".",".",0,"NHS-C108",0
28,28,"Drives and emotions",".",".","Drives and emotions","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Pregnancy and childbirth","Food consumption","Family (includes nuclear family, polygamy, adoption)",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","Multiple singers (number unknown)","Child",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C108",1
29,29,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Traditional history","Drives and emotions",".","Traditional history","Political behavior",".",".",".",".",".","Evening (1900 to 2200)","Evening (1900 to 2200)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".","Male",".","Leaders",".","Membranophone","Aerophone",".",0,"NHS-C108",1
30,30,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Death (burials, funerals, mourning)","Offenses and sanctions","Drives and emotions",".",".","Drives and emotions",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".","Membranophone",".",".",0,"NHS-C108",1
31,31,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Death (burials, funerals, mourning)","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Drives and emotions","Death (burials, funerals, mourning)","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".","Singers/musicians (e.g., bards, minstrels)",".",".",".",".",".",".",".",".","Membranophone",".",".",0,"NHS-C108",1
32,32,"Puberty and initiation","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Humor",".","Socialization and education","Puberty and initiation",".","Marriage","Pregnancy and childbirth",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","Female",".","Singers/musicians (e.g., bards, minstrels)",".","Multiple singers (number unknown)","Adult",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".",".",0,"NHS-C108",1
36,36,"Intra-community relations","Drives and emotions",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Status, role, and prestige","Socialization and education",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".","Circle",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".","Membranophone",".",".",0,"NHS-C108",1
39,39,"Spectacles","Ingroup antagonisms",".","Humor","Ingroup antagonisms",".","Peacemaking (maintaining peace)",".",".","Ingroup antagonisms","Peacemaking (maintaining peace)","Humor",".",".",".",".",">7 days","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult","Elder","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".","Membranophone",".",".",0,"NHS-C108",1
41,41,"Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Status, role, and prestige",".","Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Fauna","Drives and emotions",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C108",0
42,42,"Ingroup antagonisms","Friendships","Communication","Friendships","Drives and emotions",".","Friendships","Interpersonal relations (includes love)",".","Friendships","Interpersonal relations (includes love)","Ingroup antagonisms",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C108",0
43,43,"Drives and emotions","Communication",".","Death (burials, funerals, mourning)",".",".","Communication",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Ideas about nature and people",".",".",".",".",".",".","2-5 singers","Adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C108",1
44,44,".",".",".",".",".",".","Socialization and education",".",".","Drives and emotions",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C108",0
62,62,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Traditional history",".",".","Kin groups (clans, tribes, nation)",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C108",0
64,64,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Family (includes nuclear family, polygamy, adoption)",".",".",".",".",".",".","2-5 singers",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C108",1
68,68,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Family (includes nuclear family, polygamy, adoption)",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C108",0
71,71,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Drives and emotions",".",".",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C108",0
72,72,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Drives and emotions",".",".",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C108",0
78,78,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Drives and emotions",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Death (burials, funerals, mourning)","Drives and emotions",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C108",1
80,80,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Drives and emotions",".","Family (includes nuclear family, polygamy, adoption)","Death (burials, funerals, mourning)","Drives and emotions",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C108",1
87,87,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".","Line (or row)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C108",1
88,88,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Drives and emotions",".",".",".",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C108",0
89,89,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C114",1
90,90,"Agriculture",".",".","Drives and emotions","Agriculture",".",".",".",".","Drives and emotions",".",".",".",".",".",".",".","Solo singer","Adult",".",".",".",".",".",".",".","Male",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C114",0
92,92,"Drives and emotions",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Drives and emotions","Death (burials, funerals, mourning)",".","Drives and emotions","Death (burials, funerals, mourning)",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Chordophone",".",".",0,"NHS-C114",1
93,93,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Traditional history","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Membranophone","Idiophone",".",0,"NHS-C114",1
95,95,".",".",".","Labor","Friendships",".","Drives and emotions","Interpersonal relations (includes love)",".","Interpersonal relations (includes love)","Fauna",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C114",0
96,96,"Spectacles",".",".","Status, role, and prestige","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Status, role, and prestige","Communication","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Status, role, and prestige","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Political behavior",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C114",1
97,97,"Marriage",".",".","Marriage","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Drives and emotions",".",".",".",".",".",".",".",".",".",".","2-5 singers","Adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".","Chordophone",".",".",0,"NHS-C114",1
99,99,"Spectacles",".",".","Drives and emotions","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".","Other shape","Head/face & shoulders",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".","Male",".","Adults",".",".",".",".",0,"NHS-C114",1
100,100,"Spectacles","Food consumption",".","Food consumption","Spectacles",".","Status, role, and prestige","Drives and emotions",".","Status, role, and prestige","Traditional history",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","Both sexes",".","Singers/musicians (e.g., bards, minstrels)",".",".",".",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".","Chordophone",".",".",0,"NHS-C114",1
101,101,"Annual cycle",".",".","Games",".",".","Drives and emotions","Interpersonal relations (includes love)",".","Fauna","Travel and transportation","Ideas about nature and people",".",".",".",".",".","Multiple singers (number unknown)","Child",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C114",1
102,102,"Marriage","Interpersonal relations (includes love)",".","Dance",".",".","Inter-community relations","War",".","War","Drives and emotions",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".","1",".",".","Raiders, warriors, head-hunters, etc.",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C114",1
104,104,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Drives and emotions","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Drives and emotions","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".","1-10 hours","No recurrence","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",".","Singers/musicians (e.g., bards, minstrels)",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C114",1
105,105,"Dance","Spectacles",".","Dance",".",".","Drives and emotions",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C114",1
106,106,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Games",".","Games","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Status, role, and prestige",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Child",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C114",1
109,109,"Food consumption",".",".","Food consumption",".",".","Drives and emotions",".",".","Status, role, and prestige","War",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",".",".",".","11-20 listeners","Adult",".",".",".",".",".","Chordophone",".",".",0,"NHS-C114",1
110,110,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Sickness, medical care, and shamans",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",".","Singers/musicians (e.g., bards, minstrels)",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C114",1
113,113,".",".",".","Traditional history",".",".","Traditional history",".",".","Communication","Avoidance and taboo","Status, role, and prestige",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","Solo singer","Adult",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".",".",0,"NHS-C027",0
114,114,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","1-10 hours","No recurrence","Multiple singers (number unknown)","Adult",".","Multiple lines",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Idiophone",".",".",0,"NHS-C027",1
116,116,".",".",".","Drives and emotions",".",".","Drives and emotions","Traditional history",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)","1-10 hours","No recurrence","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".","Idiophone",".",".",0,"NHS-C027",1
117,117,".",".",".","Drives and emotions",".",".","Drives and emotions","Traditional history",".","Intra-community relations",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)","1-10 hours","No recurrence","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Idiophone",".",".",0,"NHS-C027",1
118,118,".",".",".","Drives and emotions",".",".","Drives and emotions","Traditional history",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)","1-10 hours","No recurrence","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".","Idiophone",".",".",0,"NHS-C027",1
119,119,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".","Composer",".",".",".",".",".",".",".",".","Idiophone",".",".",0,"NHS-C027",0
120,120,"Status, role, and prestige",".",".",".",".",".","Status, role, and prestige","Communication",".","Drives and emotions",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".","Male","Married","Composer",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C027",0
121,121,"Hunting and trapping",".",".","Hunting and trapping","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Hunting and trapping",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".","Head/face & shoulders",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C027",1
122,122,".",".",".",".",".",".","Traditional history",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Elder",".",".","Head/face & shoulders","Unspecified location",".",".",".",".",".","Elders",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C027",1
123,123,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".","Head/face & shoulders","Unspecified location",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C027",1
124,124,".",".",".","Dance",".",".",".",".",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)","1-10 hours","No recurrence","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".",".",0,"NHS-C027",1
125,125,"Daily routine",".",".",".",".",".",".",".",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)","1-10 hours","No recurrence","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","Both sexes",".","Composer",".","Multiple singers (number unknown)","Adult",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".","Idiophone",".",".",0,"NHS-C027",1
126,126,"Dance",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Drives and emotions",".",".",".",".",".",".",".",".",".",".","2-5 singers",".",".",".",".",".",".",".",".","Both sexes",".","Composer",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C027",1
127,127,"Dance",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Drives and emotions",".",".",".",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".","Male",".","Composer",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C027",0
128,128,"Dance",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Drives and emotions",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","Male",".","Composer",".","Multiple singers (number unknown)","Adult",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".",".",0,"NHS-C027",1
129,129,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Drives and emotions",".",".","Travel and transportation","Labor",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C027",0
131,131,"Drives and emotions",".",".","Drives and emotions",".",".","Drives and emotions","Intra-community relations",".","Drives and emotions",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Idiophone",".",".",0,"NHS-C027",1
134,134,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",0,"NHS-C077",1
135,135,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Elder",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C077",1
136,136,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C077",1
147,147,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",".",".",".","6-10 listeners","Adult",".",".",".",".",".",".",".",".",0,"NHS-C077",1
170,170,".",".",".",".",".",".",".",".",".",".",".",".",".","Evening (1900 to 2200)","Evening (1900 to 2200)",".",".","Multiple singers (number unknown)","Child",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C077",1
172,172,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Human Biology",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C077",1
181,181,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Elder",".",".","Unspecified location",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C077",1
