"","indx","trigger1","trigger2","trigger3","context1","context2","context3","function1","function2","function3","content1","content2","content3","content4","time_start","time_end","duration","recur","singers_n","singers_age1","singers_age2","shape_type","appear_paint","appear_adorn","appear_cloth","appear_mask","appear_obj","restrict_sex","restrict_marry","restrict_grp1","restrict_grp2","audience_n","audience_age1","audience_age2","audience_sex","audience_marry","audience_grp1","audience_grp2","instrument_type1","instrument_type2","instrument_type3"
"26",26,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".","Humor","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".","Conversation","Family (includes nuclear family, polygamy, adoption)","Sorcery (creating sickness or bad luck)",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","."
"27",27,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Drives and emotions",".",".",".",".",".",".","Solo singer","Adult",".",".","Entire body","Entire body",".",".",".",".",".",".",".","Solo listener","Adult",".","Female",".","Adults",".",".",".","."
"28",28,"Drives and emotions",".",".","Drives and emotions","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Pregnancy and childbirth","Food consumption","Family (includes nuclear family, polygamy, adoption)",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","Multiple singers (number unknown)","Child",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"29",29,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Traditional history","Drives and emotions",".","Traditional history","Political behavior",".",".",".",".",".","Evening (1900 to 2200)","Evening (1900 to 2200)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".","Male",".","Leaders",".","Membranophone","Aerophone","."
"30",30,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Death (burials, funerals, mourning)","Offenses and sanctions","Drives and emotions",".",".","Drives and emotions",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".","Membranophone",".","."
"31",31,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Death (burials, funerals, mourning)","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Drives and emotions","Death (burials, funerals, mourning)","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".","Singers/musicians (e.g., bards, minstrels)",".",".",".",".",".",".",".",".","Membranophone",".","."
"32",32,"Puberty and initiation","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Humor",".","Socialization and education","Puberty and initiation",".","Marriage","Pregnancy and childbirth",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","Female",".","Singers/musicians (e.g., bards, minstrels)",".","Multiple singers (number unknown)","Adult",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".","."
"33",33,"Puberty and initiation","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Humor",".","Socialization and education","Puberty and initiation",".","Sex (not extramarital)","Interpersonal relations (includes love)",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","Female",".","Singers/musicians (e.g., bards, minstrels)",".","Multiple singers (number unknown)","Adult",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".","."
"34",34,"Puberty and initiation","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Humor",".","Socialization and education","Puberty and initiation",".","Sex (not extramarital)","Gender roles and issues",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","Female",".","Singers/musicians (e.g., bards, minstrels)",".","Multiple singers (number unknown)","Adult",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".","."
"35",35,"Puberty and initiation","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Humor",".","Socialization and education","Puberty and initiation",".","Interpersonal relations (includes love)","Marriage",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","Female",".","Singers/musicians (e.g., bards, minstrels)",".","Multiple singers (number unknown)","Adult",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".","."
"36",36,"Intra-community relations","Drives and emotions",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Status, role, and prestige","Socialization and education",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".","Circle",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".","Membranophone",".","."
"37",37,"Death (burials, funerals, mourning)","Drives and emotions",".","Drives and emotions",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Drives and emotions",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Female",".","Mourners",".",".",".",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".","."
"38",38,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Death (burials, funerals, mourning)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Humor",".","Communication",".",".","Interpersonal relations (includes love)","Death (burials, funerals, mourning)","Drives and emotions",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Membranophone",".","."
"39",39,"Spectacles","Ingroup antagonisms",".","Humor","Ingroup antagonisms",".","Peacemaking (maintaining peace)",".",".","Ingroup antagonisms","Peacemaking (maintaining peace)","Humor",".",".",".",".",">7 days","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult","Elder","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".","Membranophone",".","."
"40",40,"Death (burials, funerals, mourning)","Drives and emotions",".","Drives and emotions",".",".","Infancy and childhood","Death (burials, funerals, mourning)","Drives and emotions","Death (burials, funerals, mourning)","Family (includes nuclear family, polygamy, adoption)","Dwellings",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"41",41,"Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Status, role, and prestige",".","Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Fauna","Drives and emotions",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"42",42,"Ingroup antagonisms","Friendships","Communication","Friendships","Drives and emotions",".","Friendships","Interpersonal relations (includes love)",".","Friendships","Interpersonal relations (includes love)","Ingroup antagonisms",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"43",43,"Drives and emotions","Communication",".","Death (burials, funerals, mourning)",".",".","Communication",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Ideas about nature and people",".",".",".",".",".",".","2-5 singers","Adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"44",44,".",".",".",".",".",".","Socialization and education",".",".","Drives and emotions",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"45",45,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Interpersonal relations (includes love)","Death (burials, funerals, mourning)","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"46",46,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Interpersonal relations (includes love)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"47",47,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Food consumption","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Female",".",".",".",".",".",".",".",".",".",".",".",".","."
"48",48,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Kin groups (clans, tribes, nation)","Marriage","Gift giving",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Female",".",".",".",".",".",".",".",".",".",".",".",".","."
"49",49,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Family (includes nuclear family, polygamy, adoption)","Food consumption",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Female",".",".",".",".",".",".",".",".",".",".",".",".","."
"50",50,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Kin groups (clans, tribes, nation)","Infancy and childhood",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Female",".",".",".",".",".",".",".",".",".",".",".",".","."
"51",51,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Kin groups (clans, tribes, nation)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Female",".",".",".",".",".",".",".",".",".",".",".",".","."
"52",52,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Family (includes nuclear family, polygamy, adoption)","Death (burials, funerals, mourning)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Female",".",".",".",".",".",".",".",".",".",".",".",".","."
"53",53,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Status, role, and prestige",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Female",".",".",".",".",".",".",".",".",".",".",".",".","."
"54",54,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Traditional history","Death (burials, funerals, mourning)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Female",".",".",".",".",".",".",".",".",".",".",".",".","."
"55",55,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Kin groups (clans, tribes, nation)","Infancy and childhood",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Female",".",".",".",".",".",".",".",".",".",".",".",".","."
"56",56,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Kin groups (clans, tribes, nation)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Female",".",".",".",".",".",".",".",".",".",".",".",".","."
"57",57,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Infancy and childhood","Family (includes nuclear family, polygamy, adoption)","Status, role, and prestige",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Female",".",".",".",".",".",".",".",".",".",".",".",".","."
"58",58,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Family (includes nuclear family, polygamy, adoption)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Female",".",".",".",".",".",".",".",".",".",".",".",".","."
"59",59,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Human Biology","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Female",".",".",".",".",".",".",".",".",".",".",".",".","."
"60",60,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)",".",".","Family (includes nuclear family, polygamy, adoption)","Death (burials, funerals, mourning)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Female",".",".",".",".",".",".",".",".",".",".",".",".","."
"61",61,".",".",".",".",".",".",".",".",".","Family (includes nuclear family, polygamy, adoption)","Status, role, and prestige",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"62",62,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Traditional history",".",".","Kin groups (clans, tribes, nation)",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"63",63,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Traditional history","Drives and emotions","Death (burials, funerals, mourning)","Death (burials, funerals, mourning)","Kin groups (clans, tribes, nation)","Family (includes nuclear family, polygamy, adoption)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"64",64,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Family (includes nuclear family, polygamy, adoption)",".",".",".",".",".",".","2-5 singers",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"65",65,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Family (includes nuclear family, polygamy, adoption)",".",".",".",".",".",".","2-5 singers",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"66",66,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Drives and emotions",".",".","Family (includes nuclear family, polygamy, adoption)","Death (burials, funerals, mourning)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"67",67,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Drives and emotions",".",".","Family (includes nuclear family, polygamy, adoption)","Death (burials, funerals, mourning)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"68",68,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Family (includes nuclear family, polygamy, adoption)",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"69",69,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Drives and emotions",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"70",70,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"71",71,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Drives and emotions",".",".",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"72",72,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Drives and emotions",".",".",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"73",73,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"74",74,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Drives and emotions",".","Status, role, and prestige","Animal husbandry","Kin groups (clans, tribes, nation)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
